,user_id,condition,scene,totalDeaths,totalHits,totalTime
0,053332,mit,Tutorial,1,1,44.810462951660156
1,053332,mit,Lobby,0,0,28.213287353515625
2,053332,mit,StorageRoom,7,0,148.41275787353516
3,053332,mit,Treppenhaus,7,8,190.4783477783203
4,053332,mit,Boss,5,15,421.1488037109375
5,053332,ohne,Tutorial,1,2,56.619022369384766
6,053332,ohne,Lobby,0,0,39.98958206176758
7,053332,ohne,StorageRoom,24,5,228.72351837158203
8,053332,ohne,Treppenhaus,24,23,549.0094299316406
9,053332,ohne,Boss,47,110,1309.60888671875
10,071225,mit,Tutorial,1,1,35.27436447143555
11,071225,mit,Lobby,0,0,53.15158462524414
12,071225,mit,Treppenhaus,17,14,187.43641662597656
13,071225,mit,StorageRoom,14,2,163.90316772460938
14,071225,mit,Boss,6,17,368.1383972167969
15,071225,ohne,Tutorial,1,1,44.63304138183594
16,071225,ohne,Lobby,0,0,38.350894927978516
17,071225,ohne,Treppenhaus,2,2,87.56260299682617
18,071225,ohne,StorageRoom,8,2,85.11785888671875
19,071225,ohne,Boss,2,8,241.3487548828125
20,199195,mit,Tutorial,1,2,79.79789733886719
21,199195,mit,Lobby,0,0,24.450164794921875
22,199195,mit,StorageRoom,13,1,103.50973510742188
23,199195,mit,Treppenhaus,43,41,269.8600311279297
24,199195,mit,Boss,13,37,525.5102844238281
25,199195,ohne,Tutorial,1,1,66.90876770019531
26,199195,ohne,Lobby,0,0,31.87610626220703
27,199195,ohne,StorageRoom,39,1,246.7228775024414
28,199195,ohne,Treppenhaus,35,24,352.215576171875
29,199195,ohne,Boss,29,82,1287.8726196289062
30,232962,mit,Tutorial,1,1,34.39051818847656
31,232962,mit,Lobby,0,0,17.73977279663086
32,232962,mit,StorageRoom,0,0,104.99084854125977
33,232962,mit,Treppenhaus,2,2,83.42005920410156
34,232962,mit,Boss,1,3,255.99801635742188
35,232962,ohne,Tutorial,1,1,72.40272521972656
36,232962,ohne,Lobby,0,0,41.97819519042969
37,232962,ohne,StorageRoom,12,1,157.59371948242188
38,232962,ohne,Treppenhaus,7,5,130.397216796875
39,232962,ohne,Boss,11,31,477.2850646972656
40,297088,mit,Tutorial,1,2,49.64475631713867
41,297088,mit,Lobby,0,0,25.071186065673828
42,297088,mit,StorageRoom,28,4,243.2396240234375
43,297088,mit,Treppenhaus,11,6,162.08709716796875
44,297088,mit,Boss,5,13,351.5555419921875
45,297088,ohne,Tutorial,1,2,47.18963623046875
46,297088,ohne,Lobby,0,0,17.21160125732422
47,297088,ohne,StorageRoom,15,3,91.5905990600586
48,297088,ohne,Treppenhaus,7,12,105.27714538574219
49,297088,ohne,Boss,1,3,213.86880493164062
50,356499,mit,Tutorial,1,1,25.30572509765625
51,356499,mit,Lobby,0,0,37.263343811035156
52,356499,mit,StorageRoom,6,2,90.37616729736328
53,356499,mit,Treppenhaus,8,9,93.10162353515625
54,356499,mit,Boss,1,1,232.44606018066406
55,356499,ohne,Tutorial,1,2,33.03016662597656
56,356499,ohne,Lobby,0,0,17.53356170654297
57,356499,ohne,StorageRoom,15,1,116.7309341430664
58,356499,ohne,Treppenhaus,2,3,83.79327392578125
59,356499,ohne,Boss,1,2,206.9098358154297
60,510049,mit,Tutorial,1,1,37.069732666015625
61,510049,mit,Lobby,0,0,57.61689376831055
62,510049,mit,StorageRoom,2,0,97.9288215637207
63,510049,mit,Treppenhaus,2,2,106.797607421875
64,510049,mit,Boss,4,11,283.9606018066406
65,510049,ohne,Tutorial,2,4,104.65943908691406
66,510049,ohne,Lobby,0,0,68.01548767089844
67,510049,ohne,Treppenhaus,17,14,254.86380004882812
68,510049,ohne,StorageRoom,19,0,216.21621704101562
69,510049,ohne,Boss,11,34,419.85980224609375
70,807289,mit,Tutorial,1,2,24.222497940063477
71,807289,mit,Lobby,0,0,13.262147903442383
72,807289,mit,StorageRoom,5,1,78.7911262512207
73,807289,mit,Treppenhaus,3,10,76.916748046875
74,807289,mit,Boss,1,4,215.4713592529297
75,807289,ohne,Tutorial,1,2,54.77461624145508
76,807289,ohne,Lobby,0,0,23.977657318115234
77,807289,ohne,StorageRoom,9,2,146.23919677734375
78,807289,ohne,Treppenhaus,3,7,129.1352081298828
79,807289,ohne,Boss,6,18,353.3968811035156
80,870227,mit,Tutorial,1,1,53.76238250732422
81,870227,mit,Lobby,0,0,21.986526489257812
82,870227,mit,StorageRoom,5,1,168.7862319946289
83,870227,mit,Treppenhaus,9,12,137.66127014160156
84,870227,mit,Boss,7,17,440.32843017578125
85,870227,ohne,Tutorial,1,1,26.20371437072754
86,870227,ohne,Lobby,0,0,19.68610954284668
87,870227,ohne,StorageRoom,4,0,85.73407745361328
88,870227,ohne,Treppenhaus,7,13,92.7349853515625
89,870227,ohne,Boss,2,8,322.83917236328125
90,975229,mit,Tutorial,1,1,58.56365203857422
91,975229,mit,Lobby,0,0,71.05248260498047
92,975229,mit,StorageRoom,3,0,90.43801879882812
93,975229,mit,Treppenhaus,6,12,195.3195037841797
94,975229,mit,Boss,4,9,311.91766357421875
95,975229,ohne,Tutorial,1,2,36.633270263671875
96,975229,ohne,Lobby,0,0,18.3123779296875
97,975229,ohne,StorageRoom,2,0,80.57392883300781
98,975229,ohne,Treppenhaus,4,6,118.54930114746094
99,975229,ohne,Boss,3,4,378.1897277832031
